id,name,now_cost,position,team,expected_assists_per_90,goals_conceded_per_90,points_per_game_rank_type,expected_goals,now_cost_rank,web_name,yellow_cards,transfers_in,selected_by_percent,starts,creativity,cost_change_start_fall,bps,penalties_saved,assists,minutes,penalties_order,ict_index_rank,points_per_game,expected_goals_per_90,ep_this,ep_next,bonus,ict_index,cost_change_event,expected_goals_conceded_per_90,region,total_points,selected_rank,dreamteam_count,form_rank,expected_assists,expected_goal_involvements_per_90,event_points,team_join_date,form_rank_type,influence_rank,saves_per_90,ict_index_rank_type,creativity_rank_type,starts_per_90,threat_rank_type,creativity_rank,transfers_out,value_season,influence_rank_type,chance_of_playing_this_round,can_select,chance_of_playing_next_round,expected_goal_involvements,clean_sheets_per_90,threat,selected_rank_type,penalties_missed,value_form,cost_change_start,in_dreamteam,news,direct_freekicks_order,news_added,goals_scored,threat_rank,red_cards,goals_conceded,corners_and_indirect_freekicks_order,cost_change_event_fall,influence,clean_sheets,own_goals,points_per_game_rank,transfers_in_event,saves,transfers_out_event,status,now_cost_rank_type,form,expected_goals_conceded
13,Martin Ødegaard,84,MID,Arsenal,0.23,0.64,33,2.56,10,Ødegaard,1,813409,6.8,12,399.1,1,203,0,2,992,2.0,70,3.6,0.23,3.0,3.0,3,82.1,0,0.71,161.0,43,59,0,137,2.55,0.46,2,2021-08-20,64,191,0.0,44,28,1.09,51,34,1673488,5.1,76,100.0,True,100.0,5.11,0.54,216.0,17,0,0.3,-1,False,,1.0,2024-09-10T00:30:06.311550Z,1,80,0,7,3.0,0,203.6,6,0,76,25892,0,67723,a,7,2.5,7.79
15,David Raya Martin,56,GKP,Arsenal,0.0,0.89,9,0.00,98,Raya,2,2467853,31.1,19,0.0,-1,272,0,0,1710,,209,3.9,0.0,4.7,4.7,6,40.1,0,0.86,200.0,75,4,1,53,0.01,0.0,2,2024-07-04,4,41,2.42,12,73,1.0,73,702,1979800,13.4,12,100.0,True,100.0,0.01,0.37,0.0,1,0,0.8,1,False,,,2024-09-25T21:30:06.211210Z,0,702,0,17,,0,401.0,7,0,58,58341,46,87374,a,1,4.2,16.31
16,Declan Rice,62,MID,Arsenal,0.19,1.04,65,1.24,62,Rice,3,215093,2.7,15,424.2,3,268,0,3,1293,,60,2.8,0.09,5.0,5.0,4,87.0,0,0.79,241.0,48,117,0,41,2.78,0.28,1,2023-07-15,20,101,0.0,38,21,1.04,89,25,600140,7.7,36,100.0,True,100.0,4.02,0.35,144.0,36,0,0.7,-3,False,,2.0,2024-12-14T22:30:07.561621Z,1,132,1,15,2.0,0,307.0,5,0,152,8523,0,12080,a,38,4.5,11.32
17,Bukayo Saka,103,MID,Arsenal,0.4,0.92,3,4.17,4,Saka,3,5218348,11.5,16,630.0,-3,435,0,11,1268,1.0,4,6.7,0.3,0.0,0.0,16,174.9,0,0.75,241.0,107,32,4,221,5.60,0.7,0,2018-11-28,104,11,0.0,3,2,1.14,5,2,7355778,10.4,5,0.0,True,0.0,9.77,0.43,604.0,8,0,0.1,3,True,Hamstring injury - Expected back 08 Mar,,2024-12-21T21:30:07.668871Z,5,9,0,13,1.0,0,516.2,6,0,3,1764,0,217481,i,3,1.5,10.52
18,William Saliba,63,DEF,Arsenal,0.04,0.87,11,1.88,59,Saliba,2,2091227,30.1,18,74.4,-3,307,0,0,1559,,146,4.0,0.11,7.3,7.3,6,52.8,0,0.79,73.0,72,6,2,7,0.77,0.15,2,2019-07-25,3,59,0.0,38,64,1.04,46,247,3082317,11.4,21,100.0,True,100.0,2.65,0.4,89.0,1,0,1.1,3,False,,,2024-10-19T19:30:06.564445Z,2,190,1,15,,0,362.2,7,0,55,51618,0,89193,a,4,6.8,13.67
20,Thomas Partey,50,MID,Arsenal,0.07,0.96,45,1.29,198,Thomas,2,263510,0.8,15,183.8,0,308,0,3,1401,,114,3.3,0.08,3.8,3.8,5,63.0,0,0.93,81.0,59,224,0,82,1.12,0.15,5,2020-10-05,40,81,0.0,67,87,0.96,100,123,233652,11.8,24,100.0,True,100.0,2.41,0.26,114.0,68,0,0.7,0,False,,,2024-11-30T22:00:07.258906Z,2,160,0,15,,0,329.8,4,0,102,3352,0,3574,a,123,3.3,14.45
21,Kieran Tierney,43,DEF,Arsenal,0.0,0.0,222,0.00,547,Tierney,0,2765,0.0,0,0.0,2,0,0,0,0,,570,0.0,0.0,0.5,0.5,0,0.0,0,0.0,243.0,0,548,0,514,0.00,0.0,0,2019-08-08,207,570,0.0,222,221,0.0,212,560,5541,0.0,222,100.0,True,100.0,0.00,0.0,0.0,194,0,0.0,-2,False,,,2024-08-12T14:30:04.394338Z,0,533,0,0,,0,0.0,0,0,577,231,0,223,a,122,0.0,0.00
22,Tomiyasu Takehiro,48,DEF,Arsenal,0.0,0.0,152,0.18,303,Tomiyasu,0,1481,0.0,0,0.3,2,2,0,0,6,,464,1.0,2.7,0.0,0.0,0,1.0,0,0.6,108.0,1,554,0,642,0.00,2.7,0,2021-08-31,232,481,0.0,160,163,0.0,125,452,7508,0.2,168,0.0,True,0.0,0.18,0.0,9.0,195,0,0.0,-2,False,Knee injury - Unknown return date,,2024-10-18T16:00:06.930143Z,0,362,0,0,,0,0.4,0,0,443,31,0,54,i,34,0.0,0.04
23,Leandro Trossard,68,MID,Arsenal,0.15,0.97,54,2.67,31,Trossard,0,436649,1.9,11,265.9,2,222,0,3,1022,4.0,68,3.1,0.24,2.7,2.7,5,82.9,0,0.69,21.0,59,146,1,171,1.69,0.39,1,2023-01-20,78,144,0.0,43,56,0.97,29,71,490573,8.7,54,100.0,True,100.0,4.36,0.44,307.0,45,0,0.3,-2,False,,,2024-11-21T08:30:08.540890Z,3,49,1,11,4.0,0,257.4,5,0,123,9943,0,18759,a,15,2.2,7.80
24,Benjamin White,61,DEF,Arsenal,0.04,0.91,36,0.13,72,White,2,145558,2.3,7,55.3,4,112,0,1,694,,303,3.0,0.02,0.0,0.0,0,21.3,0,1.28,241.0,27,129,0,697,0.32,0.06,0,2021-07-30,237,268,0.0,100,76,0.91,96,275,968358,4.4,99,0.0,True,0.0,0.45,0.39,29.0,51,0,0.0,-4,False,Knee injury - Unknown return date,,2024-11-14T13:00:07.861117Z,0,299,0,7,,0,128.4,3,0,130,105,0,4533,i,5,0.0,9.87
25,Oleksandr Zinchenko,48,DEF,Arsenal,0.03,0.0,64,0.06,298,Zinchenko,1,88710,0.9,2,23.2,2,63,0,0,235,,390,2.3,0.02,1.5,1.5,0,6.7,0,0.66,225.0,16,212,0,263,0.08,0.05,1,2022-07-22,88,405,0.0,129,111,0.77,107,343,304964,3.3,143,100.0,True,100.0,0.14,0.77,21.0,83,0,0.2,-2,False,,,2024-12-09T09:30:06.099861Z,0,319,0,0,,0,22.2,2,0,211,886,0,1038,a,33,1.0,1.73
73,Norberto Murara Neto,41,GKP,Arsenal,0.0,1.0,12,0.00,589,Neto,0,85047,0.8,2,0.0,4,30,0,0,180,,382,3.5,0.0,0.5,0.5,0,7.8,-1,1.46,30.0,7,225,0,502,0.00,0.0,0,2024-08-30,63,324,5.5,29,49,1.0,37,546,240383,1.7,29,100.0,True,100.0,0.00,0.0,0.0,32,0,0.0,-4,False,,,2024-10-05T17:30:06.760449Z,0,515,0,2,,1,77.8,0,0,77,812,11,2122,a,40,0.0,2.91
186,Raheem Sterling,67,MID,Arsenal,0.06,0.62,160,0.51,37,Sterling,0,47020,0.8,2,37.8,3,24,0,1,144,,357,1.5,0.32,0.2,0.0,0,11.3,0,0.87,241.0,9,220,0,703,0.09,0.38,0,2024-08-30,318,397,0.0,175,177,1.25,138,305,153024,1.3,184,50.0,True,0.0,0.60,0.0,54.0,65,0,0.0,-3,False,Knee injury - Expected back 15 Jan,3.0,2024-12-21T21:30:08.006504Z,0,252,0,1,,0,23.8,0,0,343,38,0,1034,i,18,0.0,1.39
578,Riccardo Calafiori,58,DEF,Arsenal,0.08,1.32,56,0.57,90,Calafiori,2,208689,1.3,7,77.4,2,98,0,1,614,,218,2.5,0.08,1.3,1.3,1,38.5,0,0.92,106.0,25,191,1,319,0.54,0.16,1,2024-07-29,98,210,0.0,67,61,1.03,24,238,370128,4.3,82,100.0,True,100.0,1.11,0.15,121.0,76,0,0.1,-2,False,,,2024-12-05T01:00:08.685840Z,1,154,0,9,,0,187.0,1,0,189,4974,0,3637,a,8,0.8,6.28
597,Myles Lewis-Skelly,45,MID,Arsenal,0.04,1.12,151,0.00,424,Lewis-Skelly,1,18742,0.1,3,51.7,0,50,0,0,242,,370,1.5,0.0,1.8,1.8,0,9.5,0,0.96,241.0,9,421,0,228,0.12,0.04,1,2022-12-04,108,382,0.0,180,172,1.12,201,283,10841,2.0,177,100.0,True,100.0,0.12,0.74,6.0,149,0,0.3,0,False,,,2024-12-03T15:00:08.736469Z,0,379,0,3,,0,37.4,2,0,332,3490,0,1709,a,257,1.3,2.58
633,Mikel Merino,60,MID,Arsenal,0.1,0.95,75,1.94,75,Merino,1,21839,0.1,6,92.2,0,123,0,0,570,,191,2.6,0.31,3.0,3.0,2,44.3,0,0.71,200.0,31,481,0,136,0.61,0.41,8,2024-08-27,63,224,0.0,100,137,0.95,61,216,18764,5.2,96,100.0,True,100.0,2.55,0.32,188.0,179,0,0.4,0,False,,,2024-11-30T22:00:08.239353Z,2,96,0,6,,0,165.2,2,0,176,1033,0,518,a,49,2.5,4.47
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0.0,0.0,270,0.00,423,Oulad M'hand,0,2036,0.0,0,0.0,0,0,0,0,0,,630,0.0,0.0,0.5,0.5,0,0.0,0,0.0,152.0,0,635,0,588,0.00,0.0,0,2021-10-25,239,630,0.0,266,268,0.0,262,626,1652,0.0,266,,True,,0.00,0.0,0.0,275,0,0.0,0,False,,,,0,610,0,0,,0,0.0,0,0,637,43,0,63,a,256,0.0,0.00
639,Tommy Setford,45,GKP,Arsenal,0.0,0.0,73,0.00,453,Setford,0,3199,0.0,0,0.0,0,0,0,0,0,,653,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,532,0,614,0.00,0.0,0,2024-07-24,72,653,0.0,73,67,0.0,61,648,3183,0.0,73,,True,,0.00,0.0,0.0,66,0,0.0,0,False,,,,0,633,0,0,,0,0.0,0,0,659,147,0,177,a,18,0.0,0.00
657,Maldini Kacurri,40,DEF,Arsenal,0.0,0.0,209,0.00,671,Kacurri,0,9885,0.1,0,0.0,0,0,0,0,0,,553,0.0,0.0,0.5,0.5,0,0.0,0,0.0,2.0,0,490,0,490,0.00,0.0,0,2024-09-14,189,553,0.0,209,207,0.0,196,534,7054,0.0,209,,True,,0.00,0.0,0.0,177,0,0.0,0,False,,,,0,501,0,0,,0,0.0,0,0,560,270,0,364,a,211,0.0,0.00
658,Ayden Heaven,40,DEF,Arsenal,0.0,0.0,214,0.00,677,Heaven,0,6251,0.0,0,0.0,0,0,0,0,0,,558,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,523,0,495,0.00,0.0,0,2024-02-20,194,558,0.0,214,212,0.0,202,539,4853,0.0,214,,True,,0.00,0.0,0.0,187,0,0.0,0,False,,,,0,507,0,0,,0,0.0,0,0,565,134,0,241,a,217,0.0,0.00
659,Ismeal Kabia,45,MID,Arsenal,0.0,0.0,292,0.00,464,Kabia,0,2260,0.0,0,0.0,0,0,0,0,0,,660,0.0,0.0,0.5,0.5,0,0.0,0,0.0,152.0,0,629,0,621,0.00,0.0,0,2024-09-14,265,660,0.0,289,290,0.0,285,655,1715,0.0,289,,True,,0.00,0.0,0.0,270,0,0.0,0,False,,,,0,640,0,0,,0,0.0,0,0,665,72,0,86,a,289,0.0,0.00
662,Josh Nichols,40,DEF,Arsenal,0.0,0.0,191,0.00,646,Nichols,0,3683,0.0,0,0.0,0,0,0,0,0,,534,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,545,0,470,0.00,0.0,0,2024-07-24,170,534,0.0,191,188,0.0,175,514,2677,0.0,191,,True,,0.00,0.0,0.0,192,0,0.0,0,False,,,,0,479,0,0,,0,0.0,0,0,541,140,0,176,a,187,0.0,0.00
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,0.0,0.0,55,0.00,395,Butler-Oyedeji,0,46680,0.2,0,0.0,0,0,0,0,0,,611,0.0,0.0,0.5,0.5,0,0.0,0,0.0,241.0,0,357,0,568,0.00,0.0,0,2024-09-18,48,611,0.0,52,52,0.0,52,606,31170,0.0,52,,True,,0.00,0.0,0.0,58,0,0.0,0,False,,,,0,588,0,0,,0,0.0,0,0,618,1515,0,2063,a,65,0.0,0.00
28,Leon Bailey,62,MID,Aston Villa,0.29,1.53,126,0.99,64,Bailey,2,145305,0.8,11,188.0,3,114,0,2,824,,188,1.9,0.11,1.0,1.0,0,45.0,0,1.07,107.0,30,226,0,280,2.68,0.4,2,2021-08-04,139,315,0.0,98,85,1.2,71,121,425948,4.8,147,100.0,True,100.0,3.67,0.11,176.0,69,0,0.2,-3,False,,4.0,2024-12-09T09:30:06.119495Z,0,109,0,14,3.0,0,88.0,1,0,284,5627,0,2256,a,40,1.0,9.83
29,Ross Barkley,52,MID,Aston Villa,0.07,1.54,115,1.53,157,Barkley,3,23114,0.3,2,109.1,3,109,0,1,469,,195,2.0,0.29,0.8,0.8,2,43.6,0,0.95,241.0,30,316,0,311,0.39,0.36,1,2024-07-01,157,236,0.0,101,123,0.38,72,192,82472,5.8,101,100.0,True,100.0,1.92,0.19,173.0,100,0,0.2,-3,False,,,2024-11-01T16:30:07.356966Z,2,110,0,8,,0,154.8,1,0,267,492,0,798,a,93,0.8,4.95
30,Enzo Barrenechea,49,MID,Aston Villa,0.0,0.0,304,0.00,278,Barrenechea,0,872,0.0,0,0.0,1,0,0,0,0,,683,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,610,0,662,0.00,0.0,0,,291,683,0.0,304,303,0.0,301,678,5233,0.0,304,0.0,False,0.0,0.00,0.0,0.0,261,0,0.0,-1,False,Loaned to Valencia CF,,2024-08-31T06:33:47.934620Z,0,672,0,0,,0,0.0,0,0,684,0,0,11,u,181,0.0,0.00
31,Emiliano Buendía Stati,51,MID,Aston Villa,0.04,3.75,226,0.09,176,Buendia,1,6119,0.1,0,22.0,4,33,0,0,48,,419,0.9,0.17,0.5,0.5,0,4.3,0,3.15,10.0,8,470,0,334,0.02,0.21,0,2021-06-10,168,424,0.0,201,192,0.0,209,351,14747,1.6,198,,True,,0.11,0.0,5.0,172,0,0.1,-4,False,,3.0,,0,389,0,2,,0,16.2,0,0,468,178,0,213,a,109,0.5,1.68
32,Matty Cash,44,DEF,Aston Villa,0.06,1.3,89,0.18,485,Cash,5,151151,1.1,11,53.4,1,70,0,0,898,,267,1.9,0.02,0.0,1.5,0,28.5,0,1.35,172.0,23,199,0,209,0.63,0.08,0,2020-09-03,67,233,0.0,83,78,1.1,56,278,348253,5.2,88,0.0,True,100.0,0.81,0.1,75.0,79,0,0.3,-1,False,,,2024-12-27T00:30:09.083461Z,1,215,0,13,,0,157.4,1,0,272,4859,0,6588,a,91,1.5,13.44
33,Leander Dendoncker,45,MID,Aston Villa,0.0,0.0,247,0.00,365,Dendoncker,0,18187,0.2,0,0.0,0,0,0,0,0,,596,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,349,0,552,0.00,0.0,0,,215,596,0.0,243,245,0.0,239,591,91269,0.0,243,0.0,False,0.0,0.00,0.0,0.0,114,0,0.0,0,False,On loan to Anderlecht for the rest of the season,,2024-09-02T10:45:36.198316Z,0,573,0,0,,0,0.0,0,0,603,0,0,422,u,227,0.0,0.00
34,Moussa Diaby,65,MID,Aston Villa,0.0,0.0,319,0.00,44,Diaby,0,0,0.0,0,0.0,0,0,0,0,0,,707,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,621,0,702,0.00,0.0,0,,317,707,0.0,319,319,0.0,319,707,3355,0.0,319,0.0,False,0.0,0.00,0.0,0.0,265,0,0.0,0,False,Permanent transfer to Al Ittihad,,2024-07-26T08:50:40.300928Z,0,707,0,0,,0,0.0,0,0,707,0,0,7,u,24,0.0,0.00
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,0.01,1.63,76,0.64,367,Diego Carlos,1,50803,0.4,8,9.2,0,69,0,0,828,,300,2.1,0.07,1.5,1.5,1,21.5,0,1.29,30.0,21,271,0,212,0.08,0.08,1,2022-06-10,70,241,0.0,98,134,0.87,76,400,78394,4.7,91,100.0,True,100.0,0.72,0.22,54.0,101,0,0.3,0,False,,,2024-12-23T11:30:07.657141Z,0,251,0,15,,0,150.6,2,0,238,1925,0,1588,a,62,1.5,11.88
36,Lucas Digne,46,DEF,Aston Villa,0.18,1.58,53,0.59,343,Digne,3,1560168,7.5,17,421.3,-1,216,0,3,1425,,69,2.5,0.04,1.5,1.5,6,82.4,0,1.26,73.0,48,48,2,213,2.85,0.22,1,2022-01-13,71,100,0.0,10,4,1.07,44,26,1046920,10.4,38,,True,,3.44,0.13,94.0,13,0,0.3,1,False,,2.0,,0,186,0,25,2.0,0,307.8,2,0,183,27785,0,49865,a,48,1.5,19.94
37,Lewis Dobbin,50,MID,Aston Villa,0.0,0.0,310,0.00,220,Dobbin,0,0,0.0,0,0.0,0,0,0,0,0,,691,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,700,0,676,0.00,0.0,0,,303,691,0.0,310,309,0.0,307,688,280,0.0,310,0.0,False,0.0,0.00,0.0,0.0,314,0,0.0,0,False,Permanent transfer to West Bromwich Albion,,2024-08-07T08:21:33.016106Z,0,683,0,0,,0,0.0,0,0,692,0,0,0,u,139,0.0,0.00
38,Jhon Durán,58,FWD,Aston Villa,0.03,1.99,22,5.02,91,Duran,3,1307946,3.0,4,66.8,2,219,0,0,588,,107,2.8,0.77,0.0,0.0,9,66.4,-1,1.39,48.0,51,111,0,103,0.22,0.8,0,2023-01-23,17,127,0.0,21,29,0.61,19,253,1109653,8.8,18,0.0,True,0.0,5.24,0.31,325.0,18,0,0.5,-2,False,Suspended until 15 Jan,,2024-12-27T00:30:09.111478Z,7,45,1,13,,1,273.4,2,0,150,2314,0,79802,s,25,3.0,9.07
39,Joe Gauci,40,GKP,Aston Villa,0.0,0.0,60,0.00,635,Gauci,0,62069,0.7,0,0.0,0,0,0,0,0,,525,0.0,0.0,0.0,0.0,0,0.0,0,0.0,13.0,0,235,0,460,0.00,0.0,0,2024-02-01,55,525,0.0,60,41,0.0,28,505,55553,0.0,60,,True,,0.00,0.0,0.0,34,0,0.0,0,False,,,,0,469,0,0,,0,0.0,0,0,531,531,0,2350,a,58,0.0,0.00
40,Kortney Hause,39,DEF,Aston Villa,0.0,0.0,171,0.00,687,Hause,0,46197,0.6,0,0.0,1,0,0,0,0,,488,0.0,0.0,0.0,0.0,0,0.0,0,0.0,241.0,0,251,0,417,0.00,0.0,0,2019-07-01,143,488,0.0,170,167,0.0,148,463,55696,0.0,170,,True,,0.00,0.0,0.0,91,0,0.0,-1,False,,,,0,422,0,0,,0,0.0,0,0,496,2348,0,2079,a,225,0.0,0.00
41,Samuel Iling-Junior,54,MID,Aston Villa,0.0,0.0,316,0.00,134,Iling Jr,0,342,0.0,0,0.0,1,0,0,0,0,,701,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,602,0,692,0.00,0.0,0,,311,701,0.0,316,315,0.0,314,699,6674,0.0,316,0.0,False,0.0,0.00,0.0,0.0,256,0,0.0,-1,False,Season long loan to Bologna,,2024-08-29T11:07:04.555253Z,0,698,0,0,,0,0.0,0,0,701,0,0,13,u,79,0.0,0.00
42,Boubacar Kamara,50,MID,Aston Villa,0.02,1.85,141,0.10,209,Kamara,1,4273,0.0,7,58.3,0,94,0,0,583,,338,1.7,0.02,2.2,2.2,0,16.0,0,1.36,73.0,17,562,0,163,0.16,0.04,2,2022-06-11,72,302,0.0,166,168,1.08,208,269,2899,3.4,138,100.0,True,100.0,0.26,0.15,5.0,227,0,0.4,0,False,,,2024-11-11T16:00:06.089849Z,0,388,0,12,,0,95.6,1,0,310,518,0,283,a,131,2.2,8.84
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,0.0,0.0,186,0.00,638,Kesler-Hayden,0,0,0.0,0,0.0,0,0,0,0,0,,528,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,0,653,0,463,0.00,0.0,0,,165,528,0.0,187,184,0.0,170,508,1599,0.0,187,0.0,False,0.0,0.00,0.0,0.0,223,0,0.0,0,False,Has joined Preston North End for the rest of the season,,2024-08-09T11:14:21.895838Z,0,472,0,0,,0,0.0,0,0,534,0,0,15,u,181,0.0,0.00
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,0.02,1.74,75,0.59,486,Konsa,0,942559,7.0,17,76.6,1,173,0,0,1451,,204,2.1,0.04,2.5,2.5,3,42.0,0,1.3,241.0,36,54,2,129,0.38,0.06,1,2019-07-11,36,134,0.0,63,62,1.05,52,240,1458841,8.2,50,100.0,True,100.0,0.97,0.06,77.0,16,0,0.6,-1,False,,,2024-11-21T08:30:08.587167Z,1,207,0,28,,0,266.4,1,0,237,18708,0,27822,a,92,2.5,20.96
45,Ian Maatsen,46,DEF,Aston Villa,0.27,1.87,155,0.08,351,Maatsen,1,73820,1.3,2,130.3,4,44,0,0,289,,278,0.9,0.02,0.7,0.7,0,25.3,0,1.42,152.0,13,190,0,323,0.87,0.29,1,2024-06-28,101,342,0.0,87,36,0.62,73,167,314002,2.8,121,100.0,True,100.0,0.95,0.0,56.0,75,0,0.2,-4,False,,,2024-11-14T10:00:07.838636Z,0,246,0,6,,0,66.2,0,0,466,586,0,2828,a,52,0.7,4.55
